"R2P2, x; Fees Due, x; Issued, x; Expire Pending, x; Under Inspection, x","R2P2, y","Fees Due, y","Issued, y","Approved to Issue, x","Approved to Issue, y","Admin Hold, x","Admin Hold, y","Expire Pending, y","Under Inspection, y"
c63713,98e29f,2f3946,9345ca,8ee572,5bdade,f6e7db,7063b3,d1629f,ec60dc
2002 January,2,3,192,2017 September,1,2006 April,1,1,550
2002 February,2,3,195,2017 October,1,2006 May,1,1,561
2002 March,2,4,202,2017 November,1,2006 June,1,1,584
2002 April,2,4,205,2017 December,1,2006 July,1,1,625
2002 May,2,4,208,2018 January,1,2006 August,1,1,630
2002 June,2,4,211,,,2006 September,1,1,638
2002 July,2,4,211,,,2006 October,1,1,644
2002 August,2,4,213,,,2006 November,1,1,653
2002 September,2,4,213,,,2006 December,1,1,662
2002 October,2,4,213,,,2007 January,1,1,677
2002 November,2,4,213,,,2007 February,1,1,692
2002 December,2,4,214,,,2007 March,1,1,702
2003 January,2,4,216,,,2007 April,1,1,722
2003 February,2,4,221,,,2007 May,1,1,756
2003 March,2,5,224,,,2007 June,1,1,782
2003 April,2,5,230,,,2007 July,1,1,823
2003 May,2,5,237,,,2007 August,1,1,872
2003 June,2,5,248,,,2007 September,1,1,911
2003 July,2,5,256,,,2007 October,1,1,975
2003 August,2,5,264,,,2007 November,1,1,1032
2003 September,2,5,267,,,2007 December,1,1,1067
2003 October,2,6,272,,,2008 January,1,1,1114
2003 November,2,6,274,,,2008 February,2,1,1140
2003 December,2,6,281,,,2008 March,2,1,1165
2004 January,2,6,286,,,2008 April,2,1,1185
2004 February,2,6,288,,,2008 May,2,1,1209
2004 March,3,6,288,,,2008 June,2,1,1249
2004 April,3,6,296,,,2008 July,2,1,1294
2004 May,4,6,300,,,2008 August,2,1,1340
2004 June,5,6,312,,,2008 September,2,1,1393
2004 July,6,6,319,,,2008 October,2,1,1439
2004 August,6,6,329,,,2008 November,2,1,1481
2004 September,10,6,334,,,2008 December,2,1,1530
2004 October,10,7,343,,,2009 January,2,1,1571
2004 November,11,7,345,,,2009 February,2,1,1582
2004 December,11,7,355,,,2009 March,2,1,1610
2005 January,11,7,359,,,2009 April,2,1,1640
2005 February,11,7,363,,,2009 May,2,1,1667
2005 March,13,7,370,,,2009 June,2,1,1704
2005 April,13,7,373,,,2009 July,2,1,1754
2005 May,14,7,378,,,2009 August,2,1,1788
2005 June,17,7,394,,,2009 September,2,1,1830
2005 July,18,7,399,,,2009 October,2,1,1870
2005 August,21,9,413,,,2009 November,2,1,1933
2005 September,22,8,421,,,2009 December,2,1,1982
2005 October,70,8,421,,,2010 January,2,1,1985
2005 November,108,8,423,,,2010 February,2,1,1985
2005 December,143,8,423,,,2010 March,2,1,1988
2006 January,160,8,423,,,2010 April,2,1,1992
2006 February,182,9,423,,,2010 May,2,1,1993
2006 March,207,9,423,,,2010 June,2,1,2001
2006 April,236,9,423,,,2010 July,2,1,2006
2006 May,272,9,423,,,2010 August,2,1,2012
2006 June,278,10,423,,,2010 September,2,1,2015
2006 July,277,10,425,,,2010 October,2,1,2018
2006 August,277,10,426,,,2010 November,2,1,2019
2006 September,277,10,426,,,2010 December,2,1,2025
2006 October,277,10,426,,,2011 January,2,1,2030
2006 November,277,10,427,,,2011 February,2,1,2033
2006 December,279,11,427,,,2011 March,2,1,2037
2007 January,277,10,427,,,2011 April,2,1,2040
2007 February,277,10,427,,,2011 May,2,1,2044
2007 March,277,10,427,,,2011 June,2,1,2049
2007 April,277,10,428,,,2011 July,2,1,2054
2007 May,278,10,428,,,2011 August,2,1,2057
2007 June,278,10,428,,,2011 September,2,1,2058
2007 July,278,10,428,,,2011 October,2,1,2059
2007 August,279,10,428,,,2011 November,2,1,2064
2007 September,279,10,428,,,2011 December,2,1,2065
2007 October,280,10,428,,,2012 January,2,1,2065
2007 November,280,10,428,,,2012 February,2,1,2066
2007 December,280,10,429,,,2012 March,2,1,2067
2008 January,280,10,430,,,2012 April,2,1,2069
2008 February,281,10,430,,,2012 May,2,1,2072
2008 March,281,10,430,,,2012 June,2,1,2072
2008 April,282,10,430,,,2012 July,2,1,2076
2008 May,283,10,430,,,2012 August,2,1,2079
2008 June,284,10,430,,,2012 September,2,1,2079
2008 July,288,10,430,,,2012 October,2,1,2081
2008 August,289,10,430,,,2012 November,2,1,2085
2008 September,291,10,430,,,2012 December,2,1,2089
2008 October,292,10,430,,,2013 January,2,1,2091
2008 November,295,10,432,,,2013 February,2,1,2092
2008 December,295,10,432,,,2013 March,2,1,2093
2009 January,296,10,433,,,2013 April,2,1,2096
2009 February,296,10,433,,,2013 May,2,1,2096
2009 March,296,10,433,,,2013 June,2,1,2097
2009 April,296,10,433,,,2013 July,2,1,2102
2009 May,298,10,433,,,2013 August,2,1,2103
2009 June,298,10,433,,,2013 September,2,1,2105
2009 July,299,10,434,,,2013 October,2,1,2109
2009 August,299,11,435,,,2013 November,2,1,2109
2009 September,299,11,435,,,2013 December,2,1,2109
2009 October,299,11,435,,,2014 January,2,1,2112
2009 November,299,11,435,,,2014 February,2,1,2112
2009 December,299,11,436,,,2014 March,2,1,2112
2010 January,299,11,436,,,2014 April,2,1,2113
2010 February,300,11,436,,,2014 May,2,1,2113
2010 March,300,11,436,,,2014 June,2,1,2114
2010 April,300,11,436,,,2014 July,2,1,2115
2010 May,300,11,436,,,2014 August,2,1,2116
2010 June,300,11,436,,,2014 September,2,1,2116
2010 July,300,11,436,,,2014 October,2,1,2118
2010 August,300,11,436,,,2014 November,2,1,2118
2010 September,300,11,436,,,2014 December,2,1,2119
2010 October,300,11,436,,,2015 January,2,1,2119
2010 November,300,11,436,,,2015 February,2,1,2119
2010 December,300,11,436,,,2015 March,2,1,2121
2011 January,300,11,436,,,2015 April,2,1,2121
2011 February,300,12,436,,,2015 May,2,1,2121
2011 March,300,11,436,,,2015 June,2,1,2122
2011 April,300,11,436,,,2015 July,2,1,2122
2011 May,300,11,436,,,2015 August,2,1,2123
2011 June,300,11,436,,,2015 September,2,1,2123
2011 July,300,11,436,,,2015 October,2,1,2123
2011 August,300,12,436,,,2015 November,2,1,2126
2011 September,300,11,436,,,2015 December,2,1,2127
2011 October,300,11,436,,,2016 January,2,1,2127
2011 November,300,11,436,,,2016 February,2,1,2127
2011 December,300,11,436,,,2016 March,2,1,2127
2012 January,300,11,436,,,2016 April,2,1,2127
2012 February,300,11,436,,,2016 May,2,1,2127
2012 March,300,11,436,,,2016 June,2,1,2127
2012 April,300,11,436,,,2016 July,2,1,2130
2012 May,300,12,436,,,2016 August,2,1,2131
2012 June,300,11,436,,,2016 September,2,1,2133
2012 July,300,11,436,,,2016 October,2,1,2135
2012 August,300,11,436,,,2016 November,2,1,2138
2012 September,300,11,436,,,2016 December,2,1,2142
2012 October,300,11,436,,,2017 January,2,1,2143
2012 November,300,11,436,,,2017 February,2,1,2143
2012 December,300,11,436,,,2017 March,2,1,2146
2013 January,300,11,439,,,2017 April,2,1,2150
2013 February,300,11,439,,,2017 May,2,1,2158
2013 March,300,11,439,,,2017 June,2,1,2159
2013 April,300,11,439,,,2017 July,2,1,2161
2013 May,300,11,439,,,2017 August,2,1,2162
2013 June,300,11,439,,,2017 September,2,1,2163
2013 July,300,11,439,,,2017 October,2,1,2165
2013 August,300,11,439,,,2017 November,2,1,2171
2013 September,300,11,439,,,2017 December,2,1,2173
2013 October,300,11,439,,,2018 January,2,1,2176
2013 November,300,11,439,,,,,1,2178
2013 December,300,11,439,,,,,1,2179
2014 January,300,11,439,,,,,1,2180
2014 February,300,11,439,,,,,1,2181
2014 March,300,11,439,,,,,1,2185
2014 April,300,11,439,,,,,1,2186
2014 May,300,11,439,,,,,1,2190
2014 June,300,11,439,,,,,1,2192
2014 July,300,11,439,,,,,1,2194
2014 August,300,11,439,,,,,1,2197
2014 September,300,11,440,,,,,1,2199
2014 October,300,11,440,,,,,1,2201
2014 November,300,11,440,,,,,1,2212
2014 December,300,11,440,,,,,1,2215
2015 January,300,11,440,,,,,1,2224
2015 February,300,11,440,,,,,1,2228
2015 March,300,11,440,,,,,1,2231
2015 April,300,11,440,,,,,1,2238
2015 May,301,11,440,,,,,1,2250
2015 June,301,11,441,,,,,1,2261
2015 July,301,11,441,,,,,1,2274
2015 August,301,11,441,,,,,1,2284
2015 September,301,11,441,,,,,1,2297
2015 October,301,11,441,,,,,1,2317
2015 November,301,11,441,,,,,1,2328
2015 December,302,11,441,,,,,1,2335
2016 January,301,11,446,,,,,1,2354
2016 February,301,11,448,,,,,1,2369
2016 March,301,11,448,,,,,1,2394
2016 April,301,11,448,,,,,1,2425
2016 May,301,11,448,,,,,1,2462
2016 June,301,11,450,,,,,1,2497
2016 July,301,12,452,,,,,1,2530
2016 August,301,12,455,,,,,1,2568
2016 September,301,13,458,,,,,1,2604
2016 October,301,13,464,,,,,1,2656
2016 November,301,13,466,,,,,1,2701
2016 December,301,14,471,,,,,1,2762
2017 January,301,13,478,,,,,1,2821
2017 February,301,13,482,,,,,1,2907
2017 March,301,14,491,,,,,1,3043
2017 April,301,13,502,,,,,1,3187
2017 May,301,13,521,,,,,1,3381
2017 June,301,13,551,,,,,1,3605
2017 July,301,13,596,,,,,1,3841
2017 August,301,13,656,,,,,1,4145
2017 September,301,13,733,,,,,1,4381
2017 October,301,13,830,,,,,1,4617
2017 November,301,14,960,,,,,1,4832
2017 December,301,14,1192,,,,,1,4994
2018 January,301,14,1340,,,,,1,5019
